Order ID,Operation,Page,Description,Status,Time
87,订单修改,外卖界面 > 订单管理 >订单修改,"
                        修改订单号:87

                        修改前明细:Martinix3
Coffeex1
Gongbao JiDingx1

                        修改后明细:Martinix1
Coffeex1
Gongbao JiDingx1

                        修改前账单金额: 201.0

                        修改后账单金额: 111.0

                        订单类型:外卖

                        None
",成功,2019-07-06T18:12:15.399457+02:00
89,订单修改,跑堂界面 > 订单管理 >订单修改,"
                        修改订单号:89

                        桌子编号：A1-1

                        修改前明细:Martinix3
Sushix3

                        修改后明细:Martinix3
Sushix1

                        修改前账单金额: None

                        修改后账单金额: None

                        订单类型:AlaCarte

                        None
",成功,2019-07-06T18:15:18.579789+02:00
89,订单修改,跑堂界面 > 订单管理 >订单修改,"
                        修改订单号:89

                        桌子编号：A1-1

                        修改前明细:Martinix3
Sushix1

                        修改后明细:Martinix3
Sushix3

                        修改前账单金额: None

                        修改后账单金额: None

                        订单类型:AlaCarte

                        None
",成功,2019-07-06T18:19:26.015571+02:00
89,订单修改,跑堂界面 > 订单管理 >订单修改,"
                        修改订单号:89

                        桌子编号：A1-1

                        修改前明细:Martinix3
Sushix3

                        修改后明细:Martinix3
Sushix1

                        修改前账单金额: None

                        修改后账单金额: None

                        订单类型:AlaCarte

                        None
",成功,2019-07-06T18:20:23.774524+02:00
89,订单修改,跑堂界面 > 订单管理 >订单修改,"
                        修改订单号:89

                        桌子编号：A1-1

                        修改前明细:Martinix3
Sushix1

                        修改后明细:Martinix3
Sushix2

                        修改前账单金额: None

                        修改后账单金额: None

                        订单类型:AlaCarte

                        None
",成功,2019-07-06T18:21:18.130860+02:00
87,订单修改,外卖界面 > 订单管理 >订单修改,"
                        修改订单号:87

                        修改前明细:Martinix1
Coffeex1
Gongbao JiDingx1

                        修改后明细:Martinix1
Coffeex1

                        修改前账单金额: 111.0

                        修改后账单金额: 78.0

                        订单类型:外卖

                        None
",成功,2019-07-06T18:21:49.459555+02:00
87,订单修改,外卖界面 > 订单管理 >订单修改,"
                        修改订单号:87

                        修改前明细:Martinix1
Coffeex1

                        修改后明细:Martinix1

                        修改前账单金额: 78.0

                        修改后账单金额: 45.0

                        订单类型:外卖

                        None
",成功,2019-07-06T18:25:02.723050+02:00
87,结账,外卖界面 > 订单结账,"结账订单号:87

                        支付方式:卡

                        账单金额: None

                        订单类型:外卖
",成功,2019-07-06T18:46:58.557929+02:00
89,结账,跑堂界面 > 桌子详情,"结账订单号:89

                                    桌子编号：A1-1
                                    支付方式:现金

                                    结账金额: 181.0

                                    订单类型:AlaCarte
",成功,2019-07-06T18:56:48.591580+02:00
93,结账,外卖界面 > 订单结账,"结账订单号:93

                        支付方式:卡

                        账单金额: None

                        订单类型:外卖
",成功,2019-07-06T19:57:18.351161+02:00
